Date, Time, , , User ID, Input bytes, Input packets, Output bytes, Output packets
12 04 2016,17:34:16, , ,1000,273,0,0,5
 , , , ,0,144,2,120,3
12 04 2016,17:34:31, , ,1000,737186,0,9,2
 , , , ,0,0,0,12136,279
 , , , ,65534,0,0,6915,74
12 04 2016,17:34:46, , ,1000,3207077,0,7,1
 , , , ,0,11056,16,37616,928
 , , , ,65534,0,0,967,7
12 04 2016,17:35:01, , ,1000,80,2,0,1
 , , , ,0,1120,28,1160,29
 , , , ,65534,0,0,0,0
12 04 2016,17:35:16, , ,1000,0,0,0,0
 , , , ,0,1320,33,1320,33
 , , , ,65534,0,0,0,0
  12 04 2016,17:35:18, , ,1000,0,0,0,0
 , , , ,0,1320,33,1320,33
 , , , ,65534,0,1,0,0
 12 04 2016,17:35:19, , ,1000,0,5,0,0
 , , , ,0,1320,33,1320,33
 , , , ,65534,0,0,0,0
 12 04 2016,17:35:20, , ,1000,0,8,0,0
 , , , ,0,1320,33,1320,33
 , , , ,65534,0,0,9,0
