Date, Time, , , User ID, Input bytes, Input packets, Output bytes, Output packets
29 04 2016,00:04:08, , ,root,22854,195,46164,255
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,3584,4
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,2120,29,4152,19
 , , , ,osipov,5014,85,3624,47
 , , , ,ivanov,41612,373,24680,199
 , , , ,dualks,1990,10,1990,10
 , , , ,serg,5922,24,19062,22
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,3024,4
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,3584,4
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,468328,1889,519996,1702
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,7168,8
 , , , ,katkova,0,0,3584,4
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:08:52, , ,root,11496,95,20544,122
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,984,14,2260,10
 , , , ,osipov,1856,34,1472,20
 , , , ,ivanov,19872,177,11480,93
 , , , ,dualks,995,5,995,5
 , , , ,serg,3211,12,9617,12
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,3584,4
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,16588,203,107280,196
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,3584,4
 , , , ,katkova,0,0,7120,8
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:09:15, , ,root,1068,12,6140,13
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,52,1,368,1
 , , , ,osipov,306,5,376,4
 , , , ,ivanov,1524,14,992,8
 , , , ,dualks,0,0,0,0
 , , , ,serg,0,0,0,0
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,4380,64,25916,46
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,0,0
 , , , ,katkova,0,0,0,0
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:19:08, , ,root,172978,1922,54335,426
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,3584,4
 , , , ,golovin,2032,28,4192,20
 , , , ,osipov,5014,85,3624,47
 , , , ,ivanov,41528,372,24680,199
 , , , ,dualks,1990,10,5574,14
 , , , ,serg,5974,25,19062,22
 , , , ,sshd,0,0,4572,11
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,10792,13
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,3584,4
 , , , ,kpv,350888,489,393292,1871
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,0,0
 , , , ,katkova,0,0,0,0
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:23:52, , ,root,8204,82,18256,115
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,984,14,2260,10
 , , , ,osipov,1856,34,1472,20
 , , , ,ivanov,19684,176,15248,98
 , , , ,dualks,995,5,995,5
 , , , ,serg,2711,12,9445,10
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,30192,364,110816,333
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,0,0
 , , , ,katkova,0,0,0,0
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:24:15, , ,root,4128,21,412,10
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,3584,4
 , , , ,golovin,52,1,368,1
 , , , ,osipov,306,5,376,4
 , , , ,ivanov,1508,14,4576,12
 , , , ,dualks,0,0,0,0
 , , , ,serg,0,0,0,0
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,0,0,0,0
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,0,0
 , , , ,katkova,0,0,0,0
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,0,0,0,0
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:34:08, , ,root,44415,426,49654,263
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,3584,4
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,2032,28,4152,19
 , , , ,osipov,5014,85,3624,47
 , , , ,ivanov,41524,372,37968,218
 , , , ,dualks,1990,10,1990,10
 , , , ,serg,5974,25,19062,22
 , , , ,sshd,0,0,7220,14
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,3584,4
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,7168,8
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,14840,194,72956,206
 , , , ,aln,0,0,0,0
 , , , ,nscd,0,0,0,0
 , , , ,cherepock_251894,0,0,0,0
 , , , ,shvets,0,0,0,0
 , , , ,chertov,0,0,0,0
 , , , ,abs,0,0,0,0
 , , , ,krisi76_1794,0,0,0,0
 , , , ,afanasievily_251892,0,0,0,0
 , , , ,vplatonov,0,0,0,0
 , , , ,dbus,0,0,0,0
 , , , ,support,0,0,0,0
 , , , ,munge,0,0,0,0
 , , , ,potapyurich_251891,0,0,0,0
 , , , ,krasnopol,0,0,0,0
 , , , ,octo,0,0,0,0
 , , , ,mitrofjr_1705,0,0,0,0
 , , , ,ntp,0,0,0,0
 , , , ,woker,0,0,0,0
 , , , ,danilkin,0,0,0,0
 , , , ,katkova,0,0,0,0
 , , , ,vadim,0,0,0,0
 , , , ,bfrost,0,0,0,0
 , , , ,glagolev,5728,88,23280,164
 , , , ,glagoleva,0,0,0,0
 , , , ,lazutin,0,0,0,0
 , , , ,kochugaeva,0,0,0,0
 , , , ,annag,0,0,0,0
 , , , ,khalatur,0,0,0,0
 , , , ,alexanderzlobin_935,0,0,0,0
 , , , ,sharapova_935,0,0,0,0
29 04 2016,00:38:52, , ,root,8192,81,483474,7180
 , , , ,coctic,0,0,0,0
 , , , ,mzhestkov_1780,0,0,0,0
 , , , ,grigorenko,0,0,0,0
 , , , ,golovin,984,14,2260,10
 , , , ,osipov,1856,34,1472,20
 , , , ,ivanov,19724,177,15368,99
 , , , ,dualks,995,5,995,5
 , , , ,serg,15570,106,9617,12
 , , , ,sshd,0,0,0,0
 , , , ,exim,0,0,0,0
 , , , ,gavrilov,0,0,0,0
 , , , ,kanaev_1773,0,0,0,0
 , , , ,wasabiko,0,0,0,0
 , , , ,vurdizm,0,0,0,0
 , , , ,zarcova_1753,0,0,0,0
 , , , ,harchenko,0,0,0,0
 , , , ,tyroxine_935,0,0,0,0
 , , , ,burunduk,0,0,0,0
 , , , ,fedorg,0,0,0,0
 , , , ,kpv,0,0,55389,817
 , , , ,aln,0,0,0,0
